FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
远安县,88,6,19,鹿苑河,1
远安县,21,7,5,宗家河,1
远安县,14,6,4,窝子冲,1
远安县,86,6,22,罗汉峪沟,1
远安县,19,7,7,胡家冲沟,1
远安县,22,6,7,殷家冲,1
远安县-洋坪镇-彭家沟村,35,6,10,高庄河,1
远安县-嫘祖镇/远安县-洋坪镇,40,6,16,笕口河,1
远安县,40,6,7,通城河,1
当阳市-王店镇-木店村/当阳市-玉阳街道-新民村/当阳市-玉阳街道-望城村,20,7,14,石龙冲,1
当阳市-河溶镇-红明村/当阳市-河溶镇-红胜村/当阳市-河溶镇-红日村,13,7,6,朱家湾河（严家湾河）,1
长阳自治县,17,7,4,壕沟溪,1
长阳自治县,82,6,19,子厂溪（淋湘溪）,1
长阳自治县,14,6,6,虎溪沟,1
长阳自治县-火烧坪乡-青树包村/长阳自治县-火烧坪乡-黍子岭村/长阳自治县-资丘镇-凉水寺村/长阳自治县-资丘镇-泉水湾村,32,6,6,杨木溪,1
长阳自治县,12,7,3,青林子河,1
长阳自治县,20,6,7,对舞溪,1
长阳自治县-资丘镇-西阳坡村/长阳自治县-火烧坪乡-溜沙口村,57,6,10,谢家冲（泡麻溪）,1
长阳自治县,23,7,6,糯泥溪,1
长阳自治县,71,6,16,曲溪,1
长阳自治县,13,7,3,崔家坡河,1
长阳自治县-都镇湾镇-响石村/长阳自治县-都镇湾镇-城伍河村,135,6,14,响石溪,1
长阳自治县,41,7,8,纳溪（重溪）,1
长阳自治县,12,6,4,东向溪,1
长阳自治县,14,6,4,莫家溪,1
长阳自治县,18,6,2,马连坪河,1
长阳自治县,25,6,3,分水溪,1
长阳自治县-都镇湾镇-横山村/长阳自治县-都镇湾镇-十五溪村/长阳自治县-都镇湾镇-庄溪村,32,6,7,庄溪,1
长阳自治县,172,6,26,谢家河,1
长阳自治县,28,7,7,随母溪,1
长阳自治县,27,6,6,杨家溪,1
长阳自治县,120,6,22,双柳溪,1
长阳自治县,0,8,7,大阳坡河（龙潭河）,1
长阳自治县,17,6,5,七丘河（塘坊河）,1
长阳自治县,18,6,7,渔泉溪,1
长阳自治县,109,6,22,头道河（沿头溪）,1
长阳自治县,23,7,9,后峰溪（厚丰溪）,1
长阳自治县,19,6,8,泉溪河,1
长阳自治县,502,3,76,丹水,1
长阳自治县,74,6,16,石城河,1
长阳自治县,12,7,4,聂家湾河,1
长阳自治县,12,7,5,景阳沟,1
长阳自治县,35,7,7,小河,1
长阳自治县,18,6,6,吊岩沟,1
长阳自治县,33,6,7,流溪,1
长阳自治县,25,6,6,城子河,1
长阳自治县,12,6,3,估溪河,1
长阳自治县,19,6,6,向家河,1
长阳自治县,12,6,3,曾家溪,1
长阳自治县,37,6,8,白氏溪,1
长阳自治县,10,6,4,避难溪,1
宜都市-红花套镇-鄢家沱村,19,6,9,白岩溪,1
宜都市,64,6,31,大溪河,1
宜都市,11,7,4,干子堰,1
长阳自治县,37,6,10,向家溪,1
长阳自治县,32,6,14,马磨河,1
长阳自治县-磨市镇-玉宝村,67,6,19,桃花溪（中溪河）,1
长阳自治县,26,7,8,下芦溪,1
宜都市-五眼泉镇-庙岗村/宜都市-五眼泉镇-龙口子村/宜都市-五眼泉镇-石门村,16,6,6,董家沟,1
宜都市-高坝洲镇-宋山冲村/宜都市-高坝洲镇-皓光村/宜都市-高坝洲镇-天平山村,16,6,5,宋山冲,1
五峰自治县,33,6,9,柴埠溪,1
五峰自治县,1224,3,104,渔洋河,1
五峰自治县-长乐坪镇-苏家河村/五峰自治县-长乐坪镇-甘沟村/五峰自治县-长乐坪镇-洞口村/五峰自治县-长乐坪镇-腰牌村,163,6,31,干沟河（五峰）,1
五峰自治县-渔洋关镇-汉马池村/五峰自治县-渔洋关镇-三房坪村/五峰自治县-长乐坪镇-月山村,116,6,29,小河（五峰）,1
五峰自治县-渔洋关镇-三板桥村,16,7,4,横溪河（五峰）,1
宜都市,45,6,11,长沟（全福河）,1
宜都市,15,6,4,破石河,1
宜都市-王家畈镇-白马溪村,34,6,5,白马溪,1
宜都市-王家畈镇-老屋棚村/宜都市-王家畈镇-小河村/宜都市-王家畈镇-王家畈村/宜都市-王家畈镇-十三尖村/宜都市-聂家河镇-白家埫村,134,6,17,青龙溪,1
宜都市-王家畈镇-夏家湾村/宜都市-王家畈镇-王家畈村/宜都市-王家畈镇-小河村,15,7,6,石板河,1
五峰自治县-仁和坪镇-杨柳池村/宜都市-王家畈镇-白玉垴村/宜都市-王家畈镇-龙潭河村,56,7,11,龙潭河（李家河）,1
宜都市,23,8,7,泉水河（桃花溪）,1
宜都市-五眼泉镇-望佛桥村/宜都市-五眼泉镇-拖溪村/宜都市-五眼泉镇-弭水桥村,75,6,15,拖溪,1
宜都市,15,7,3,探母沟河,1
宜都市-五眼泉镇-弭水桥村,25,7,9,丑溪,1
秭归县,159,6,29,庙坪河,1
秭归县-沙镇溪镇-马家山村/秭归县-沙镇溪镇-梅坪村/秭归县-梅家河乡-尤家湾村/秭归县-梅家河乡-谭家岭村,770,2,54,清港河,1
秭归县-两河口镇-香龙村/秭归县-两河口镇-白庙岭村/秭归县-磨坪乡-磨坪村/秭归县-梅家河乡-陈家淌村/秭归县-两河口镇-云盘村/秭归县-梅家河乡-水田垭村/秭归县-梅家河乡-龙王山村/秭归县-梅家河乡-鲁家湾村/秭归县-梅家河乡-郑家岭村/秭归县-梅家河乡-谭家岭村/秭归县-梅家河乡-尤家湾村,160,6,33,梅家河,1
秭归县-梅家河乡-陈家淌村/秭归县-梅家河乡-肖家坪村/秭归县-梅家河乡-水田垭村/秭归县-磨坪乡-天井坪村,17,7,4,八家子沟,1
秭归县-沙镇溪镇-长春村/秭归县-沙镇溪镇-梅坪村/秭归县-梅家河乡-下里坪村,14,6,3,杨柳河（林家湾）,1
秭归县-两河口镇-二甲村/秭归县-两河口镇-铺庄村/秭归县-两河口镇-高桥河村/秭归县-两河口镇-太坪村/秭归县-两河口镇-两河村/秭归县-沙镇溪镇-屯里荒村/秭归县-沙镇溪镇-马家坝村,189,6,32,锣鼓洞河,1
秭归县-两河口镇-月明山村/秭归县-两河口镇-中心观村/秭归县-两河口镇-太坪村/秭归县-两河口镇-土珠庙村,25,7,6,小太坪河,1
秭归县,44,6,10,陈家沟,1
