xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
87,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
88,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
89,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
90,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅱ类,优,--,96.80%,总磷(0.128),1,0.228,下雨、面源污染,2024年5月
91,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年5月
92,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,96.80%,总磷(0.265),1,0.253,企业排污,2024年5月
93,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
94,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,--,--,--,--,2024年5月
95,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
96,湖库,市控,善溪冲水库,善溪冲水库,猇亭区,Ⅲ类,Ⅲ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
97,湖库,市控,官庄水库,官庄水库,夷陵区,Ⅲ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年5月
98,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,40.00%,溶解氧（-）,18,5.2-5.8,水体流动性差,2024年6月
99,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
100,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
101,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,溶解氧（-）,3,4.8-5.9,水位低，水体流动性差,2024年6月
102,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,53.30%,溶解氧（-）,8,5.3-5.9,下雨，面源污染，受上游来水影响，水体流动性差,2024年6月
103,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,53.30%,高锰酸盐指数(0.025-0.275),9,4.1-5.1,下雨，面源污染，受上游来水影响，水体流动性差,2024年6月
104,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.30%,溶解氧（-）,5,4.5-5.5,下雨、面源污染、受上游来水影响及回水区,2024年6月
105,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.30%,高锰酸盐指数(0.025),1,4.1,下雨、面源污染、受上游来水影响及回水区,2024年6月
