xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
153,/,兴山四季旅行社有限公司,兴山县古夫镇北斗坪社区客运站三楼301号,境内旅游业务、入境旅游业务,"2525168
2520299",
154,/,湖北嗨森游国际旅行社有限公司,湖北省宜昌市夷陵区分乡镇明珠南路36号,境内旅游业务、入境旅游业务,"6972080
6225508",
155,/,湖北康小宝国际旅行社有限公司,宜昌市西陵区珍珠路73号,境内旅游业务、入境旅游业务,"6572518
6572322",
156,/,宜昌乐之行旅行社有限公司,当阳市玉阳街道办事处玉阳路17号2栋301,境内旅游业务、入境旅游业务,"3221113
3221119",
157,/,湖北全景旅游发展有限公司,湖北省宜昌市西陵区体育场路41-2号,境内旅游业务、入境旅游业务,"6918788
6916766",
158,/,湖北欣圣国际旅行社有限责任公司,宜都市陆城长江大道179号,境内旅游业务、入境旅游业务,"4820818
4827338",
159,/,宜昌交运三峡人家专线旅行社有限公司,宜昌市西陵区镇平路39号,境内旅游业务、入境旅游业务,"6903281
6903271",
160,/,宜昌世景国际旅行社有限公司,宜昌市西陵区西陵一路19-1-2-1901号,境内旅游业务、入境旅游业务,"6902975
6902976",
161,/,湖北河马国际旅行社有限公司,湖北省宜昌市伍家岗区城东大道93号B02区-3-030110,境内旅游业务、入境旅游业务,"6210550
6219663",
162,/,湖北欢途国际旅游发展有限公司,湖北省宜昌市西陵区体育场路41-2号,境内旅游业务、入境旅游业务,"6930953
6930917",
163,/,湖北陈氏国际旅行社有限责任公司,湖北省宜昌市伍家岗区沿江大道特168-6号万达广场B座1721-22室,境内旅游业务、入境旅游业务,6282484,
164,/,宜昌臻慧游旅行社有限公司,兴山县古夫镇高铁站地下门面B1-21号,境内旅游业务、入境旅游业务,"6611680
6561969",
165,/,湖北抖乐科技发展有限公司,宜昌市西陵区西湖路32号,境内旅游业务、入境旅游业务,6557494,
166,/,宜昌星坐标国际旅行社有限公司,湖北省宜昌市夷陵区东城试验区梅子垭村梅岭馨苑11-2号门面,境内旅游业务、入境旅游业务,"6904479
6904480",
167,/,湖北冠峡国际旅行社有限公司,湖北省宜昌市夷陵区东城试验区梅子垭村梅岭馨苑11-1号门面,境内旅游业务、入境旅游业务,"6904459
6975851",
168,/,宜昌市大洲旅行社有限公司,湖北省宜昌市伍家岗区沿江大道特168-6号万达广场B2611号,境内旅游业务、入境旅游业务,"6433389
6433536",
169,/,湖北智景国际旅行社有限公司,湖北省宜昌市伍家岗区沿江大道129号金江银座1003室,境内旅游业务、入境旅游业务,"6212223
6210636",
170,/,湖北省喜乐旅行社有限责任公司,宜昌市西陵区胜利四路46号湖北日报传媒集团三峡分社Ｖ6创意园园区内Ｂ栋1层,境内旅游业务、入境旅游业务,"7103812
7103813",
171,/,宜昌市景中景旅行社有限公司,湖北省宜昌市远安县鸣凤镇解放路4号203,境内旅游业务、入境旅游业务,"3680009
3689992",
172,/,湖北省夏航国际旅行社有限公司,宜昌市西陵区解放路52号,境内旅游业务、入境旅游业务,"6233626
6233628",
173,/,湖北八方游国际旅行社有限公司,宜昌市西陵区绿萝路4号,境内旅游业务、入境旅游业务,"6620868
6225508",
174,/,宜昌市展航旅行社有限责任公司,湖北省宜昌市远安县鸣凤镇西门路2号,境内旅游业务、入境旅游业务,3819365,
