,xsq,sj,zhzs,zdzs
591,西陵区,2023-09,2.64,0.95
592,西陵区,2024-11,3.59,1.03
593,远安县,2021-01,4.28,1.3900000000000001
594,远安县,2021-02,3.61,1.23
595,远安县,2021-03,3.48,1.11
596,远安县,2021-04,2.93,0.79
597,远安县,2021-05,3.57,1.03
598,远安县,2021-06,3.07,0.98
599,远安县,2021-07,2.12,0.68
600,远安县,2021-08,2.33,0.72
601,远安县,2021-09,2.96,0.92
602,远安县,2021-11,3.91,0.94
603,远安县,2021-12,4.59,1.39
604,远安县,2022-01,3.895,1.3900000000000001
605,远安县,2022-02,3.63,1.09
606,远安县,2022-03,3.23,0.93
607,远安县,2022-04,2.85,0.91
608,远安县,2022-05,2.78,0.96
609,远安县,2022-06,2.4,0.91
610,远安县,2022-07,1.91,0.7
611,远安县,2022-08,2.14,0.88
612,远安县,2022-09,2.84,1.04
613,远安县,2022-11,3.2,0.89
614,远安县,2022-12,3.86,1.29
615,远安县,2023-01,3.5949999999999998,1.175
616,远安县,2023-02,4.42,1.46
617,远安县,2023-03,3.53,1.09
618,远安县,2023-04,3.09,0.92
619,远安县,2023-05,2.5,0.94
620,远安县,2023-06,2.22,0.98
621,远安县,2023-07,2.05,0.81
622,远安县,2023-08,2.31,0.94
623,远安县,2023-09,2.4,0.91
624,远安县,2023-11,3.03,0.91
625,远安县,2023-12,3.89,1.46
626,远安县,2024-01,3.23,1.155
627,远安县,2024-02,2.95,0.97
628,远安县,2024-03,3.36,0.97
629,远安县,2024-04,2.57,0.9
630,远安县,2024-05,2.78,1.08
631,远安县,2024-06,2.43,0.98
632,远安县,2024-07,1.69,0.68
633,远安县,2024-08,2.15,0.85
634,远安县,2024-09,2.68,1.05
635,远安县,2024-11,2.84,0.71
636,远安县,2024-12,3.79,1.2
637,远安县,2025-01,5.09,1.94
638,远安县,2025-02,3.72,1.23
639,远安县,2025-03,3.01,0.96
640,远安县,2025-04,3.28,1.1
641,远安县,2025-05,3.09,1.04
642,远安县,2025-06,2.3,0.93
643,远安县,2025-07,1.89,0.82
644,远安县,2025-08,1.88,0.79
645,长阳县,2023-01,2.38,0.81
646,长阳县,2023-04,3.06,0.94
647,长阳县,2023-05,2.67,0.86
648,长阳县,2023-06,2.63,1.05
649,长阳县,2023-07,2.05,0.79
650,长阳县,2023-08,2.51,0.98
651,长阳县,2023-09,2.34,0.89
652,长阳县,2023-11,2.91,0.91
653,长阳县,2023-12,4.31,1.69
654,长阳县,2024-01,3.455,1.35
655,长阳县,2024-02,3.11,1.2
656,长阳县,2024-03,3.54,1.17
657,长阳县,2024-04,2.49,0.91
658,长阳县,2024-05,2.81,1.05
659,长阳县,2024-06,2.27,1.02
660,长阳县,2024-07,1.31,0.6
661,长阳县,2024-08,2.01,0.95
662,长阳县,2024-09,2.75,1.14
663,长阳县,2024-11,3.12,1.03
664,长阳县,2024-12,4.11,1.69
665,长阳县,2025-01,5.85,2.46
666,长阳县,2025-02,3.75,1.4
667,长阳县,2025-03,3.22,0.97
668,长阳县,2025-04,3.28,1.0
669,长阳县,2025-05,2.96,1.08
670,长阳县,2025-06,2.11,1.04
671,长阳县,2025-07,1.8,0.89
672,长阳县,2025-08,1.78,0.88
673,长阳土家族自治县,2021-01,3.5,1.17
674,长阳土家族自治县,2021-02,3.6,1.34
